Year,County,CountyCode,Products,Quantity,Price (Ksh),Total Value  (Ksh)
2015,TransNzoia,KE026,Poultry meat(KG),98000,400,39200000
2015,Uasin Gishu,KE027,Poultry meat(KG),382728,450,172227600
2015,Turkana,KE023,Poultry meat(KG),,650,    
2015,Embu,KE014,Poultry meat(KG),116293,485,56402226
2015,Meru,KE012,Poultry meat(KG),103700,550,57035000
2015,Thakara Nithi,KE004,Poultry meat(KG),524085,520,272524200
2015,Isiolo,KE011,Poultry meat(KG),    ,350,    
2015,Marsabit,KE010,Poultry meat(KG),35520000,180,6393600000
2015,Kilifi,KE003,Poultry meat(KG),358426,400,143370400
2015,Kwale,KE002,Poultry meat(KG),1158036,350,405312600
2015,Mombasa,KE001,Poultry meat(KG),353545,,    
2015,Taita Taveta,KE006,Poultry meat(KG),284673,,    
2015,Vihiga,KE038,Poultry meat(KG),16360,500,8180000
2015,Kakamega,KE037,Poultry meat(KG),49142,480,23588160
2015,Kitui,KE015,Poultry meat(KG),6591636,400,2636654400
2015,Machakos,KE016,Poultry meat(KG),7237530,369,2670648570
2015,Kajiado,KE034,Poultry meat(KG),3274055,400,1309622100
2015,Makueni,KE017,Poultry meat(KG),4252200,600,2551320000
2015,Kisumu,KE042,Poultry meat(KG),812626,400,325050400
2015,Homabay,KE043,Poultry meat(KG),2305000,500,1152500000
2015,Siaya,KE041,Poultry meat(KG),929900,400,371960000
2015,Bungoma,KE039,Poultry meat(KG),417680,300,125304000
2015,Laikipia,KE031,Poultry meat(KG),6526000,550,3589300000
2015,Samburu,KE025,Poultry meat(KG),27130,300,8139000
2015,Kisii,KE045,Poultry meat(KG),1648569,300,494570700
2015,Nyamira,KE046,Poultry meat(KG),518940,350,181629000
2015,Bomet,KE036,Poultry meat(KG),218499,500,109249500
2015,Narok,KE033,Poultry meat(KG),83200,350,29120000
2015,BARINGO,KE030,Poultry meat(KG),501733,400,200693200
2015,Kericho,KE035,Poultry meat(KG),145000,500,72500000
2015,Nandi,KE029,Poultry meat(KG),70585,320,22587200
2015,Elgeyo marakwet,KE028,Poultry meat(KG),26919,600,16151400
2015,Kirinyaga,KE020,Poultry meat(KG),974510,400,389803920
2015,Nakuru,KE032,Poultry meat(KG),1281913,510,653775528
2015,Nyeri,KE019,Poultry meat(KG),927726,600,556635513
2015,Lamu,KE005,Poultry meat(KG),85662,450,38547900
2015,Garissa,KE007,Poultry meat(KG),,,    
2015,Tana River,KE004,Poultry meat(KG),,,    
2015,Migori,KE044,Poultry meat(KG),4829780,450,2173401000
2015,Nairobi,KE047,Poultry meat(KG),273547,400,109418800
2015,West Pokot,KE024,Poultry meat(KG),130797,350,45778824
2015,Busia,KE040,Poultry meat(KG),1424130,400,569652000
2015,Nyandarua,KE018,Poultry meat(KG),18740900,400,7496360000
2015,Kiambu,KE022,Poultry meat(KG),351761800,600,211057080000
2015,Murang'a,KE021,Poultry meat(KG),1617622,600,970573200
2015,Wajir,KE008,Poultry meat(KG),38449,400,15379600
2015,Mandera,KE009,Poultry meat(KG),6115400,400,2446160000
2016,Uasin Gishu,KE027,Poultry meat(KG),402872,500,201435789
2016,West Pokot,KE024,Poultry meat(KG),135000,500,67500000
2016,Turkana ,KE023,Poultry meat(KG),55243,500,27621250
2016,Trans Nzoia,KE026,Poultry meat(KG),122000,400,48800000
2016,Kitui,KE015,Poultry meat(KG),7909877,500,3954938250
2016,Machakos,KE016,Poultry meat(KG),7945848,500,3972924000
2016,Kajiado,KE034,Poultry meat(KG),3645000,400,1458000000
2016,Makueni,KE017,Poultry meat(KG),4788926,500,2394462750
2016,Migori,KE044,Poultry meat(KG),2707475,450,1218363525
2016,Siaya,KE041,Poultry meat(KG),1891544,400,756617600
2016,Kisumu,KE042,Poultry meat(KG),725000,300,217500000
2016,Homa Bay,KE043,Poultry meat(KG),2099730,450,944878500
2016,Taita Taveta,KE006,Poultry meat(KG),474229,300,142268700
2016,Mombasa,KE001,Poultry meat(KG),583609,375,218853375
2016,Kilifi,KE003,Poultry meat(KG),53238,375,19964250
2016,Kwale ,KE002,Poultry meat(KG),585702,350,204995700
2016,Bomet,KE036,Poultry meat(KG),36100,450,16245000
2016,Kisii,KE045,Poultry meat(KG),1169739,300,350921700
2016,Narok,KE033,Poultry meat(KG),1490100,400,596040000
2016,Nyamira,KE046,Poultry meat(KG),535848,400,214339200
2016,Nairobi,KE047,Poultry meat(KG),741830,300,222548940
2016,Nyeri,KE019,Poultry meat(KG),411583,450,185212305
2016,Meru ,KE012,Poultry meat(KG),1989230,600,1193538240
2016,Tharaka Nithi,KE013,Poultry meat(KG),614340,500,307170000
2016,Isiolo,KE011,Poultry meat(KG),68136,500,34068000
2016,Bungoma,KE039,Poultry meat(KG),433062,400,173224800
2016,Busia,KE040,Poultry meat(KG),1878251,400,751300440
2016,Vihiga,KE038,Poultry meat(KG),16090,500,8045000
2016,Garissa,KE007,Poultry meat(KG),297407,400,118962800
2016,Lamu,KE005,Poultry meat(KG),57108,450,25698600
2016,Mandera,KE009,Poultry meat(KG),6115400,400,2446160000
2016,Tana River,KE004,Poultry meat(KG),208152,450,93668400
2016,Kirinyaga,KE020,Poultry meat(KG),974510,400,389803920
2016,Nakuru ,KE032,Poultry meat(KG),2165346,400,866138280
2016,Embu,KE014,Poultry meat(KG),473223,400,189289200
2016,Kakamega,KE037,Poultry meat(KG),1120796,400,448318400
2016,Kiambu,KE022,Poultry meat(KG),4942145,450,2223965025
2016,Samburu ,KE025,Poultry meat(KG),27130,300,8139000
2016,Laikipia,KE031,Poultry meat(KG),565796,400,226318200
2016,Muranga,KE001,Poultry meat(KG),591500,400,236600000
2016,Kericho,KE035,Poultry meat(KG),798110,500,399054900
2016,Nandi,KE029,Poultry meat(KG),1151364,600,690818166
2016,Elgeyomarakwet,KE028,Poultry meat(KG),29610,450,13324500
2016,Baringo,KE030,Poultry meat(KG),478406,350,167441999
2016,Nyandarua,KE018,Poultry meat(KG),729113,400,291645000
2016,Wajir,KE008,Poultry meat(KG),38449,400,15379600
2016,Mandera,KE009,Poultry meat(KG),35520,400,14208000
